comuna,region,concentracion_ref,concentracion_comb,concentracion_comuna,concentracion_rebote,emision_ref,emision_comb,emision_comuna,emision_rebote,Número de habitantes
Lumaco,Región de La Araucanía,15.888153505038295,12.393970998084715,19.043005118184208,14.571715793876075,0.8688826075571622,0.6231305730660059,1.44752101611996,0.8302809228704372,9548
Los Andes,Región de Valparaíso,1.1851127949868472,1.5527496700908587,1.5755054502716033,1.5583936653336379,0.19012681036205056,0.10504119913372685,0.10504119913372685,0.10504119913372685,66708
Puyehue,Región de Los Lagos,12.33823781582131,8.73457796602245,11.026371839564682,12.697651554738135,1.8811092010249475,0.5525956630750932,1.2521192224191426,2.0188422940907604,11667
Puerto Montt,Región de Los Lagos,22.966360352031554,9.36374012544465,11.433612537012595,11.341323521657499,9.936327176042695,0.14226895466149694,0.6977586940965587,0.5070924067636158,245902
San Fabián,Región de Ñuble,3.4487381159028923,3.1930071396361055,3.6030597286093546,3.2431260377677886,0.25172985300584416,0.09312788928864842,0.15193376184786167,0.09573354308840942,4308
Purranque,Región de Los Lagos,24.558168071414695,12.837825491902139,18.79548928525932,19.566629007412462,3.3469340677607775,0.43175934208172606,2.0654047307095875,1.57883360763371,20369
Quillota,Región de Valparaíso,9.439565797210845,5.612575831028598,5.8305091045338795,5.6626483570464226,0.23067385668755738,0.004204173990137702,0.004204173990137702,0.004204173990137702,90517
Quellón,Región de Los Lagos,14.253681229846155,12.026314758198176,13.733831273484494,13.291560349497512,2.1771795238283174,0.4085414283892193,2.0628813862425806,1.495049994324793,27192
Petorca,Región de Valparaíso,1.4424262559648864,1.4212846176326215,1.4616543888765205,1.4300663913164842,0.03259092434068911,0.00019744326328203712,0.00019744326328203712,0.00019744326328203712,9826
Curacaví,Región Metropolitana de Santiago,7.846586364844762,15.5010764528118,15.688146397524967,15.544350603481611,0.5371607950031508,0.8310305820370874,0.8310305820370874,0.8310305820370874,32579
Curepto,Región del Maule,8.391554633439744,6.776267407636942,8.595352609762353,7.080455825502829,0.12781226751857105,0.06341725829828579,0.1354739637802083,0.07225816054932077,9448
Portezuelo,Región de Ñuble,23.439159458848806,21.88548724238646,27.27627432509004,22.3474000797772,0.49923572480743394,0.5528372651567696,0.6908293271792415,0.5528745419778203,4862
Lautaro,Región de La Araucanía,25.280228276356123,14.25902030300086,21.588528733089102,17.601329501966635,2.4441410727305564,1.571586687478126,2.6084613726874513,2.1364090643476885,38013
San Fernando,Región del Libertador Bernardo O'Higgins,3.0446458391008293,3.4861817509035227,3.6156009680406203,3.536194995784027,0.32166576853716056,0.21706906936428513,0.24420680647764864,0.22840590050130188,73973
Lago Ranco,Región de Los Ríos,9.685339813283502,7.5948392847948325,9.472546443121933,9.078189458741278,0.783864651288775,0.22550229798024882,0.5650156746224356,0.48857195844715184,9896
Constitución,Región del Maule,9.064173552051624,7.932799389722547,9.660144722814525,8.240449770063616,0.6011798397765161,0.13979738881581616,0.3360940881325801,0.15983233025319968,46068
Florida,Región del Bío-Bío,17.169722845241395,19.026419053435028,23.850925486660906,19.568286311887228,0.45256380862772816,1.3265931227455408,1.6718461638540323,1.3266649407204905,10624
Los Muermos,Región de Los Lagos,19.6376177778752,11.899011843743322,15.500435569220622,15.124269817704498,1.5632671891334737,0.14925728670387375,0.7510910993466331,0.5445196079409339,17068
Quirihue,Región de Ñuble,14.480213252197196,12.703958653873089,16.48897704146497,13.131878606555603,0.9013887178495962,0.5101580838010491,0.7649238234369848,0.5124858049306438,11594
San Carlos,Región de Ñuble,31.9310393826739,13.561416259210434,16.5410769350327,13.830635550037014,3.4971355129154196,1.0104807550630877,1.2508998377276832,1.0204682801618172,53024
Hualaihué,Región de Los Lagos,9.116193480112626,7.279249679241424,7.90439164507924,7.888031041959075,1.0914128644234673,0.00711909338159559,0.035209925398053205,0.025568147191478638,8944
