day,comuna,region,avg_emision_ref,stddev_emision_ref,avg_emision_comb,stddev_emision_comb,avg_emision_comuna,stddev_emision_comuna,avg_emision_rebote,stddev_emision_rebote,avg_concentracion_ref,stddev_concentracion_ref,avg_concentracion_comb,stddev_concentracion_comb,avg_concentracion_comuna,stddev_concentracion_comuna,avg_concentracion_rebote,stddev_concentracion_rebote
6,Renaico,Región de La Araucanía,0.9154173292870618,0.013109075424421232,0.41599521913063253,0.005957515879353379,0.8694208287589797,0.012457140017555683,0.5159804588372033,0.007390065986615426,28.766269096152275,7.445973637109219,15.097067860582474,2.762433436955753,25.091270761090705,5.902127761772645,17.487912927385906,3.4073708363287922
4,Renaico,Región de La Araucanía,0.9037850454378857,0.012970713108139884,0.4106600236517268,0.00590868698052225,0.8578590191381607,0.012352526427157496,0.5093130821425917,0.0073283680424674315,29.22065398349661,5.968254407420402,15.57218150500978,3.1861449620223588,25.579389519946787,6.494950118707472,18.025328549126872,3.914196057226878
3,Renaico,Región de La Araucanía,0.9217305989882242,0.014290151649428907,0.4190092158559183,0.006496156730941461,0.875116336823382,0.01356746407191009,0.5196458312508127,0.008056386413648343,30.508599329336377,7.749028668612145,16.213676171757697,3.4428442150016423,26.37336670728471,7.351337451349149,18.558854397938077,4.382555634602247
7,Renaico,Región de La Araucanía,0.9237229041979839,0.013624760876504013,0.4194187610663166,0.006176307275489321,0.8765597779262113,0.01291564357772118,0.5202216050558074,0.007661524931750326,32.74562688067428,8.70950707622973,16.57824762089979,3.2695911033270932,27.87439502661045,7.302136089257486,19.219810632491047,4.048456237362158
5,Renaico,Región de La Araucanía,0.8992041841636277,0.013293761790496794,0.40895523070053114,0.006060345858249794,0.853825446199613,0.012651613976803526,0.5071465029923173,0.007514607496730563,30.621074526795212,10.147028052339707,16.032963623259313,4.15519720111117,25.913502032386187,8.32600197926365,18.31994067155398,5.057700959503891
5,Renca,Región Metropolitana de Santiago,0.1409344308807714,0.0020835631024297896,0.06656346040860464,0.0009840688162588284,0.06656346040860464,0.0009840688162588284,0.06656346040860464,0.0009840688162588284,48.32757877955834,11.816466123198522,41.297360007961586,11.231628206723268,41.36194785237312,11.219838171921491,41.31267197430134,11.232095524016701
7,Renca,Región Metropolitana de Santiago,0.145434855769758,0.0021211361912876567,0.06839046077339424,0.001004791083008916,0.06839046077339424,0.001004791083008916,0.06839046077339424,0.001004791083008916,42.23880191886866,12.224248629772664,35.45201551251942,11.542299310182136,35.53716868736126,11.53127064677649,35.47419523795446,11.539435275241289
4,Renca,Región Metropolitana de Santiago,0.14402716799201748,0.0020641507289358503,0.06716892106058542,0.0009620756675820929,0.06716892106058542,0.0009620756675820929,0.06716892106058542,0.0009620756675820929,44.500077029770495,11.57544996408474,37.49418801887363,11.004711181239234,37.587957996480604,10.98559990020361,37.51543329697029,11.000729422881374
3,Renca,Región Metropolitana de Santiago,0.14794390062742677,0.00229366499253285,0.06862893447951479,0.0010639964460077002,0.06862893447951479,0.0010639964460077002,0.06862893447951479,0.0010639964460077002,42.08255536226994,12.625971272580792,34.67561920717651,11.397322817554459,34.75952246796851,11.382937858527931,34.69668110118192,11.39253642355524
6,Renca,Región Metropolitana de Santiago,0.14596715890650797,0.0021029515589759276,0.06804575226367446,0.0009740350995434628,0.06804575226367446,0.0009740350995434628,0.06804575226367446,0.0009740350995434628,45.94040721561395,14.783810714654248,38.550206706103154,14.193918449774337,38.645951211686224,14.1671622659921,38.57356269172594,14.18537647983006
1,Renca,Región Metropolitana de Santiago,0.14266357951399616,0.00185773936254839,0.06682729384998636,0.0008702131151065404,0.06682729384998636,0.0008702131151065404,0.06682729384998636,0.0008702131151065404,40.88120439707064,9.917912965462142,33.60914512428583,8.883897055682326,33.681395050591114,8.90406113172528,33.62776697990941,8.889823771530725
2,Renca,Región Metropolitana de Santiago,0.1473591259072166,0.002104647635479347,0.06867575231839751,0.0010214607499739008,0.06867575231839751,0.0010214607499739008,0.06867575231839751,0.0010214607499739008,38.214667825318045,12.099091011700848,31.645025475599144,11.220937826114264,31.708629473491953,11.212406531201514,31.65999294298667,11.21906509264119
1,Rengo,Región del Libertador Bernardo O'Higgins,0.2977650413480501,0.0038774430387657835,0.17196696199519051,0.0022393231769212785,0.17364340113801185,0.0022611532855480523,0.18006388165177106,0.0023447598812809285,5.914630469027366,1.1645738824635232,5.663632335207658,1.4698999041237917,5.776018884144075,1.529409418316428,5.7642381336468995,1.4875886304830825
4,Rengo,Región del Libertador Bernardo O'Higgins,0.2989142524026656,0.004285257474031142,0.17257053427646826,0.002475151012844598,0.17425169402501187,0.00249930649915092,0.1806912588957571,0.0025918053933610794,5.888947816527567,0.9431291206648983,5.926963398310731,1.254119494606354,6.052294737359242,1.3071366897081622,6.030396616203133,1.267836936423307
7,Rengo,Región del Libertador Bernardo O'Higgins,0.3049964647986333,0.004488508670499327,0.17617933238935143,0.002593779610483602,0.1778977671466405,0.0026191126321674784,0.1844784835519223,0.002716083138766031,5.840186585699891,0.8005107546514607,5.622769454239547,0.7969145457955427,5.726807472416057,0.8311601998411242,5.721459105463157,0.8052047849305849
6,Rengo,Región del Libertador Bernardo O'Higgins,0.30277920570735223,0.004335091411285805,0.17482635034692617,0.00250357344246286,0.17653085807015653,0.0025280016267649813,0.18305922162694246,0.002621558856681037,5.509555300979062,0.9014644944747526,5.49247617631877,0.9847678257553683,5.584273502397309,1.005134420469795,5.594200286109929,0.9963166236044936
3,Rengo,Región del Libertador Bernardo O'Higgins,0.305085206691897,0.004729922899587903,0.17609926373682153,0.002730174676071611,0.1778138199008719,0.0027567566854073302,0.1843821043155127,0.002858588485229866,5.851018194021752,1.0371127429270832,5.571129565600185,1.3813357088879112,5.682420307669034,1.393839151319685,5.671700392906071,1.386432279118715
2,Rengo,Región del Libertador Bernardo O'Higgins,0.3056344054585393,0.004604743889954501,0.17645029002941184,0.0026651784475878126,0.17816787016213625,0.002691113903441315,0.18474902394392723,0.0027905413332814004,5.759252589381551,0.8052460005422633,5.608289469552339,0.9850755915063542,5.706024521230159,1.0114227491289804,5.702629176484898,0.9938905113555665
