comuna,region,concentracion_ref,concentracion_comuna,concentracion_comb,concentracion_rebote,emision_ref,emision_comuna,emision_comb,emision_rebote
Yungay,Región de Ñuble,11.612603833669343,11.36093805840522,8.839440805854506,8.952434921592987,1.0890805549241138,1.04376438276711,0.7076316594896973,0.7076578853893453
Quilleco,Región del Bío-Bío,8.244868168079604,9.049461641126598,7.173646845512392,7.279412990325097,0.8530835495983621,1.279571502770197,0.86694304551259,0.8671630660573666
Coinco,Región del Libertador Bernardo O'Higgins,10.757159911500466,8.682127779031283,8.356563252723243,8.559701538226035,0.1305416084509712,0.06541400612792063,0.06331105921234122,0.06607130223612356
Purranque,Región de Los Lagos,24.5581680714147,18.795489285259315,12.837825491902136,19.566629007412462,3.3469340677607775,2.065404730709588,0.431759342081726,1.5788336076337104
Catemu,Región de Valparaíso,5.840183181418179,2.4687300084907204,2.3819623773262983,2.4018294168980336,0.18108125842563166,0.005144969910446093,0.005144969910446093,0.005144969910446093
Limache,Región de Valparaíso,8.922238384347391,8.574703050353197,8.352091431091036,8.403181530352857,0.18536012007531874,0.005385127674497075,0.005385127674497075,0.005385127674497075
Maipú,Región Metropolitana de Santiago,35.191529023723405,24.877497939837887,24.774274363461885,24.799833713751287,0.40323009160330053,0.23718473696261544,0.23718473696261544,0.23718473696261544
Dalcahue,Región de Los Lagos,16.816504509908597,16.69676561429947,12.592581518287023,15.531014680670847,1.9020776046957537,2.477468277481095,0.49078157290270136,1.795554334756356
Los Alamos,Región del Bío-Bío,11.826914745554035,14.051142122933927,11.820155205961667,12.358800956079248,0.7316156780910585,0.4756639387508628,0.31342478792363426,0.3186253920624403
Los Sauces,Región de La Araucanía,19.12993063600879,22.00375437850087,13.212586065770214,15.735045038379424,0.978752317900514,1.7042154000953411,0.7158850394043822,0.9695924316939325
Cobquecura,Región de Ñuble,12.436141987938298,14.151396115613458,11.644725198476335,12.022222242215188,0.4346683648505371,0.41723775821886205,0.27568682671000344,0.2777070558246645
Quilaco,Región del Bío-Bío,6.2426184054455645,6.436177574015467,5.372662717208638,5.553042660735246,0.45982431143081076,0.425834002424898,0.25472603719970144,0.274324785034806
Puerto Octay,Región de Los Lagos,14.321729705097908,11.985755911359748,9.223966866464819,12.706507498000189,1.600557336955498,1.163867564764309,0.3167420398512606,1.1575598224221038
San Pedro,Región Metropolitana de Santiago,8.88647542108444,9.35130197816736,8.778957868842458,8.902272737066074,0.2812502635925397,0.09670871295835984,0.08784218853253409,0.08870396864810748
Angol,Región de La Araucanía,19.956306887724875,21.92206762396491,13.883328322877325,16.008065056059586,4.125802725241064,2.5934636105809825,1.1574364340353636,1.504250661137672
La Unión,Región de Los Ríos,22.19663370345771,15.530981417463535,12.607602483330778,17.52501937726408,5.130018054876152,1.1387430362910633,0.6435371731223413,1.3973751689732161
Maule,Región del Maule,27.502814943145268,16.548448323298295,13.421842126795287,14.00438882284993,0.5833524565899242,0.14597051238783668,0.09589811396639981,0.10950399731666133
Maullín,Región de Los Lagos,21.64026879056392,16.57095248336001,12.107139480837397,15.80118976255364,1.2042334551300529,1.2330437664841933,0.2446467737866666,0.8937826110433064
Purén,Región de La Araucanía,15.639138014204553,16.952051696632005,11.570289183967697,13.215294957430528,0.7575442330727826,0.38548513371278087,0.1691647753374786,0.22238401940864225
Palmilla,Región del Libertador Bernardo O'Higgins,12.581416537713102,8.472708585109215,7.014076671998383,7.262294629871004,0.18244698774464357,0.07239322539189376,0.05027465214441761,0.05275651959723129
Mulchén,Región del Bío-Bío,15.522889533215588,13.976439927303431,9.651857073664504,10.500376737181494,3.31257698941976,3.5339341682157133,1.8876223727587211,2.180864465687862
Fresia,Región de Los Lagos,18.680799779369508,16.783207993054198,12.220694047172904,16.4498723193761,1.5463970551702904,1.6956059897306575,0.33611540631041376,1.229142818037477
Lebu,Región del Bío-Bío,15.825449942418569,14.075540424601096,12.237555157164984,12.700739045435977,0.8028597275998943,0.4788015570879412,0.3241648097168104,0.32438073198637196
Bulnes,Región de Ñuble,32.207173479101584,24.011423421758213,19.382453407127713,19.695716406744463,1.214993433606661,1.1824224700203396,0.9335959767433414,0.933664341294707
Calbuco,Región de Los Lagos,24.10714382066708,15.111391999365818,11.202886156939298,14.530382965713384,1.5928007483611617,0.9684955993089739,0.1922956186984272,0.70207173452767
